type,title,micro_summary,summary,tags,access_mode,url
bgu_links,מרכז אילן רמון,מרכז אילן רמון,מרכז אילן רמון,quick_links,public,https://bgu.ac.il/u/academic-affairs/jusidman/ilan-ramon
bgu_links,מרכז חוסידמן לנוער שוחר מדע,מרכז חוסידמן לנוער שוחר מדע,מרכז חוסידמן לנוער שוחר מדע,quick_links,public,https://bgu.ac.il/u/academic-affairs/jusidman
bgu_links,מרכז יזמות 360,מרכז יזמות 360,מרכז יזמות 360,quick_links,public,https://bgu.ac.il/yazamut/he
bgu_links,"מתווה חרבות ברזל תשפ""ו","מתווה חרבות ברזל תשפ""ו","מתווה חרבות ברזל תשפ""ו",quick_links,public,https://bgu.ac.il/welcome/mitve2026
bgu_links,נשיא האוניברסיטה,נשיא האוניברסיטה,נשיא האוניברסיטה,quick_links,public,https://bgu.ac.il/u/management/president
bgu_links,סגני הנשיא,סגני הנשיא,סגני הנשיא,quick_links,public,https://bgu.ac.il/u/management/president/vice-presidents
bgu_links,ספרייה,ספרייה,ספרייה,quick_links,public,https://in.bgu.ac.il/aranne/Pages/default.aspx
bgu_links,על אודות אוניברסיטת בן-גוריון בנגב,על אודות אוניברסיטת בן-גוריון בנגב,על אודות אוניברסיטת בן-גוריון בנגב,quick_links,public,https://bgu.ac.il/general/about-bgu
bgu_links,קורסים אקדמיים- לימודי צבירה,קורסים אקדמיים- לימודי צבירה,קורסים אקדמיים- לימודי צבירה,quick_links,public,https://bgu.ac.il/welcome/external-studies-center/syllabus/academic-course-to-accumulate-credit-points-pre-med
bgu_links,קטלוג תשתיות ושירותי המחקר (אנגלית),קטלוג תשתיות ושירותי המחקר (אנגלית),קטלוג תשתיות ושירותי המחקר (אנגלית),quick_links,public,https://bgu.ac.il/en/research-at-bgu/research-infrastructures
bgu_links,קידומטיקה לנוער - המועדון המתמטי למצוינות ויצירתיות,קידומטיקה לנוער - המועדון המתמטי למצוינות ויצירתיות,קידומטיקה לנוער - המועדון המתמטי למצוינות ויצירתיות,quick_links,public,https://bgu.ac.il/u/outreach/kidumatica
bgu_links,קמפוס אילת,קמפוס אילת,קמפוס אילת,quick_links,public,https://bgu.ac.il/u/campus/eilat
bgu_links,קמפוס ברגמן,קמפוס ברגמן,קמפוס ברגמן,quick_links,public,https://bgu.ac.il/u/campus/bergmann
bgu_links,רקטור,רקטור,רקטור,quick_links,public,https://bgu.ac.il/u/management/rector
bgu_links,רקטור,רקטור,רקטור,quick_links,public,https://bgu.ac.il/u/management/rector/about
bgu_links,שנתונים,שנתונים,שנתונים,quick_links,public,https://bgu.ac.il/u/academic-affairs/acadsec/shnaton
bgu_links,תוויות חניה וכרטיסים,תוויות חניה וכרטיסים,תוויות חניה וכרטיסים,quick_links,public,https://in.bgu.ac.il/security/Pages/%D7%9B%D7%A8%D7%98%D7%99%D7%A1%D7%99-%D7%A2%D7%95%D7%91%D7%93-%D7%95%D7%AA%D7%95%D7%95%D7%99%D7%95%D7%AA-%D7%97%D7%A0%D7%99%D7%94.aspx
bgu_links,תוכניות בין־לאומיות,תוכניות בין־לאומיות,תוכניות בין־לאומיות,quick_links,public,https://bgu.ac.il/en/vps/international
bgu_links,תוכניות הצטיינות ופרסי כניסה,תוכניות הצטיינות ופרסי כניסה,תוכניות הצטיינות ופרסי כניסה,quick_links,public,https://bgu.ac.il/welcome/excellent-program
bgu_links,תוכניות לעולות ולעולים חדשים,תוכניות לעולות ולעולים חדשים,תוכניות לעולות ולעולים חדשים,quick_links,public,https://bgu.ac.il/welcome/contents/special-study-tracks/aliyah
bgu_links,תולדות האוניברסיטה,תולדות האוניברסיטה,תולדות האוניברסיטה,quick_links,public,https://bgu.ac.il/general/bgu-milestones
bgu_links,תנאי קבלה לבוגרי ולבוגרות המכינות,תנאי קבלה לבוגרי ולבוגרות המכינות,תנאי קבלה לבוגרי ולבוגרות המכינות,quick_links,public,https://bgu.ac.il/welcome/contents/pre-registration/acceptance-after-mechina
